location_id,timestamp,precipitation_rate_mm_hr,pore_pressure_kpa,subsurface_displacement_mm,ground_acceleration_g,realtime_water_table_m,cumulative_precip_72hr,cumulative_precip_168hr,ucs_mpa,seismic_zone,pga_g,initial_water_table_m,rockfall_event,3d_surface_coord_x,3d_surface_coord_y,3d_surface_coord_z
Zone_C,2025-09-04 07:37:12.259652,5.3255,2439.1359,712.1195,0.0015,248.6377,555.4949,1370.5424,123.0,II,0.19,15.8,0,854.5434,818.9374,925.7553
Zone_D,2025-08-14 16:37:12.259652,5.9388,2474.0123,566.1045,0.0022,252.1929,604.7091,1371.4325,158.4,II,0.22,18.0,0,679.3254,651.0202,735.9358
Zone_C,2025-05-01 01:37:12.259652,2.7912,364.726,21.8806,0.0063,37.179,80.1427,207.6457,123.0,II,0.19,15.8,0,26.2567,25.1627,28.4447
Zone_A,2025-05-18 14:37:12.259652,0.6454,415.2277,45.2457,0.0011,42.327,95.1412,262.0381,90.4,IV,0.49,25.0,0,54.2948,52.0325,58.8194
Zone_A,2025-07-12 09:37:12.259652,4.3361,2515.3275,312.4314,0.0,256.4044,652.4182,1412.9209,90.4,IV,0.49,25.0,0,374.9176,359.2961,406.1608
Zone_B,2025-05-29 12:37:12.259652,0.0,433.0726,60.1064,0.0055,44.146,100.2644,255.0253,97.1,IV,0.48,21.4,0,72.1277,69.1224,78.1383
Zone_D,2025-04-17 09:37:12.259652,5.173,347.8552,7.6325,0.002,35.4592,101.1856,239.4091,158.4,II,0.22,18.0,0,9.159,8.7774,9.9223
Zone_A,2025-08-14 09:37:12.259652,10.7965,2336.2636,553.5513,0.0029,238.1512,556.9613,1279.1211,90.4,IV,0.49,25.0,0,664.2615,636.584,719.6167
Zone_C,2025-09-09 16:37:12.259652,14.4638,2442.0702,751.2436,0.0172,248.9368,569.8131,1365.2115,123.0,II,0.19,15.8,0,901.4923,863.9301,976.6167
Zone_B,2025-07-25 16:37:12.259652,4.8328,2376.3047,420.0591,0.0009,242.2329,527.7711,1319.5778,97.1,IV,0.48,21.4,0,504.0709,483.0679,546.0768
Zone_B,2025-08-31 09:37:12.259652,7.1013,2470.7392,692.1519,0.0085,251.8592,580.4018,1379.4839,97.1,IV,0.48,21.4,0,830.5823,795.9747,899.7974
Zone_A,2025-06-10 00:37:12.259652,7.0691,1740.8039,94.3945,0.0,177.452,560.6143,1342.2639,90.4,IV,0.49,25.0,0,113.2734,108.5537,122.7129
Zone_D,2025-08-06 06:37:12.259652,8.213,2472.1062,503.5226,0.0026,251.9986,611.0712,1371.7618,158.4,II,0.22,18.0,0,604.2272,579.051,654.5794
Zone_C,2025-07-19 10:37:12.259652,7.636,2385.4383,366.985,0.0004,243.1639,585.7624,1319.7474,123.0,II,0.19,15.8,0,440.382,422.0328,477.0805
Zone_B,2025-04-13 11:37:12.259652,0.379,310.7273,3.9995,0.0159,31.6745,114.5352,169.7173,97.1,IV,0.48,21.4,0,4.7994,4.5994,5.1994
Zone_A,2025-06-09 16:37:12.259652,3.7267,1707.9171,92.6559,0.0088,174.0996,566.2965,1327.1462,90.4,IV,0.49,25.0,0,111.1871,106.5543,120.4527
Zone_B,2025-08-26 17:37:12.259652,9.8469,2556.1745,656.9232,0.0015,260.5682,641.4514,1462.1385,97.1,IV,0.48,21.4,0,788.3078,755.4617,854.0002
Zone_B,2025-07-07 15:37:12.259652,10.3057,2473.9464,287.3246,0.0003,252.1862,587.4963,1405.6217,97.1,IV,0.48,21.4,0,344.7896,330.4233,373.522
Zone_A,2025-06-02 19:37:12.259652,0.6325,828.7412,65.4527,0.0,84.4792,414.5388,538.2434,90.4,IV,0.49,25.0,0,78.5432,75.2706,85.0885
Zone_A,2025-06-29 07:37:12.259652,3.9375,2294.892,218.8319,0.0005,233.9339,566.9585,1306.9175,90.4,IV,0.49,25.0,0,262.5982,251.6566,284.4814
Zone_C,2025-05-01 06:37:12.259652,0.0,367.5887,22.1159,0.001,37.4708,79.2275,211.8185,123.0,II,0.19,15.8,0,26.5391,25.4333,28.7507
Zone_D,2025-04-18 04:37:12.259652,0.1202,356.7741,8.477,0.0,36.3684,105.7863,242.651,158.4,II,0.22,18.0,0,10.1725,9.7486,11.0202
Zone_B,2025-04-27 02:37:12.259652,0.0,411.0037,19.0485,0.0028,41.8964,112.7247,249.6985,97.1,IV,0.48,21.4,0,22.8582,21.9058,24.7631
Zone_D,2025-09-19 09:37:12.259652,6.4936,2374.8289,818.8213,0.0113,242.0825,611.9588,1356.7861,158.4,II,0.22,18.0,0,982.5855,941.6445,1064.4677
Zone_D,2025-08-07 06:37:12.259652,6.7589,2456.3562,510.9675,0.0284,250.3931,621.8849,1364.9774,158.4,II,0.22,18.0,0,613.161,587.6126,664.2578
Zone_A,2025-04-13 18:37:12.259652,0.9682,318.3242,4.4209,0.0003,32.4489,110.684,159.4317,90.4,IV,0.49,25.0,0,5.3051,5.084,5.7472
Zone_D,2025-09-23 07:37:12.259652,0.0,2403.7464,846.7015,0.0049,245.0302,620.4878,1380.7627,158.4,II,0.22,18.0,0,1016.0418,973.7067,1100.7119
Zone_A,2025-08-05 18:37:12.259652,6.0748,2397.9455,492.4335,0.0015,244.4389,581.3536,1325.2034,90.4,IV,0.49,25.0,0,590.9202,566.2985,640.1635
Zone_D,2025-05-12 02:37:12.259652,1.5712,415.624,38.3168,0.0018,42.3674,88.6709,221.7695,158.4,II,0.22,18.0,0,45.9801,44.0643,49.8118
Zone_A,2025-09-17 09:37:12.259652,14.286,2454.8162,801.1105,0.0,250.2361,584.6539,1371.8435,90.4,IV,0.49,25.0,0,961.3326,921.2771,1041.4437
Zone_A,2025-06-29 20:37:12.259652,10.8706,2284.4109,222.5734,0.0005,232.8655,558.6981,1291.6119,90.4,IV,0.49,25.0,0,267.088,255.9594,289.3454
Zone_C,2025-06-16 12:37:12.259652,2.4137,2146.0837,133.5863,0.0215,218.7649,559.5239,1373.6753,123.0,II,0.19,15.8,0,160.3036,153.6243,173.6622
Zone_D,2025-07-13 15:37:12.259652,9.0897,2400.4217,328.8015,0.005,244.6913,575.5647,1340.9845,158.4,II,0.22,18.0,0,394.5618,378.1217,427.442
Zone_D,2025-06-17 10:37:12.259652,8.7875,2223.8454,140.4786,0.0,226.6917,662.0438,1405.2504,158.4,II,0.22,18.0,0,168.5743,161.5504,182.6222
Zone_D,2025-07-09 02:37:12.259652,9.7887,2440.9969,295.6275,0.0039,248.8274,582.8059,1383.4599,158.4,II,0.22,18.0,0,354.753,339.9716,384.3157
Zone_C,2025-10-02 14:37:12.259652,0.9929,2084.7396,917.5329,0.005,212.5117,352.961,1114.8055,123.0,II,0.19,15.8,0,1101.0394,1055.1628,1192.7927
Zone_B,2025-06-01 23:37:12.259652,1.4093,661.8096,64.9461,0.0059,67.4628,267.6644,403.0018,97.1,IV,0.48,21.4,0,77.9353,74.688,84.4299
Zone_B,2025-04-18 05:37:12.259652,0.7255,333.458,8.7531,0.0029,33.9916,83.5845,233.9294,97.1,IV,0.48,21.4,0,10.5037,10.066,11.379
Zone_D,2025-08-15 11:37:12.259652,4.1709,2499.3632,572.0168,0.0014,254.7771,586.1602,1412.8454,158.4,II,0.22,18.0,0,686.4201,657.8193,743.6218
Zone_A,2025-07-17 10:37:12.259652,5.909,2492.2973,350.0134,0.0,254.0568,594.2787,1424.5642,90.4,IV,0.49,25.0,0,420.0161,402.5154,455.0175
Zone_D,2025-06-04 14:37:12.259652,7.9007,1136.6551,72.4983,0.0157,115.867,584.7708,834.6394,158.4,II,0.22,18.0,0,86.9979,83.373,94.2478
Zone_D,2025-08-24 02:37:12.259652,4.9522,2445.0318,635.5702,0.0019,249.2387,594.4816,1367.1432,158.4,II,0.22,18.0,0,762.6842,730.9057,826.2412
Zone_C,2025-05-24 17:37:12.259652,2.6608,407.1183,50.0475,0.0012,41.5003,98.5155,227.3375,123.0,II,0.19,15.8,0,60.0571,57.5547,65.0618
Zone_C,2025-06-08 01:37:12.259652,4.3448,1677.0385,83.4533,0.0078,170.9519,640.0512,1468.6854,123.0,II,0.19,15.8,0,100.144,95.9713,108.4893
Zone_C,2025-05-30 02:37:12.259652,0.997,415.8111,56.5603,0.0016,42.3864,107.2414,237.0842,123.0,II,0.19,15.8,0,67.8723,65.0443,73.5283
Zone_D,2025-07-15 13:37:12.259652,9.2426,2420.6283,342.6946,0.0108,246.7511,572.4831,1345.3957,158.4,II,0.22,18.0,0,411.2335,394.0987,445.5029
Zone_D,2025-06-29 16:37:12.259652,10.784,2381.6068,226.7515,0.0,242.7734,564.3315,1378.8459,158.4,II,0.22,18.0,0,272.1018,260.7642,294.7769
Zone_D,2025-05-20 18:37:12.259652,0.0,426.0546,49.231,0.002,43.4306,110.0867,244.8226,158.4,II,0.22,18.0,0,59.0772,56.6157,64.0003
Zone_B,2025-06-28 18:37:12.259652,5.7268,2426.3163,221.4771,0.001,247.3309,596.1344,1399.1813,97.1,IV,0.48,21.4,0,265.7725,254.6987,287.9202
Zone_A,2025-05-31 10:37:12.259652,1.2101,387.3538,61.2806,0.0066,39.4856,92.4317,202.6892,90.4,IV,0.49,25.0,0,73.5367,70.4727,79.6647
Zone_B,2025-08-01 14:37:12.259652,10.3297,2389.9216,469.981,0.0006,243.621,574.0281,1355.1361,97.1,IV,0.48,21.4,0,563.9772,540.4782,610.9753
Zone_D,2025-05-21 21:37:12.259652,1.7957,410.7648,50.6623,0.004,41.872,87.5037,232.637,158.4,II,0.22,18.0,0,60.7948,58.2617,65.861
Zone_B,2025-09-12 16:37:12.259652,9.7529,2417.5202,783.7127,0.0052,246.4343,541.8079,1329.0207,97.1,IV,0.48,21.4,0,940.4552,901.2696,1018.8265
Zone_B,2025-06-24 08:37:12.259652,22.1163,2394.0486,189.8147,0.0052,244.0417,624.6558,1444.308,97.1,IV,0.48,21.4,0,227.7777,218.287,246.7592
Zone_B,2025-04-10 02:37:12.259652,2.0202,233.2513,1.1193,0.0037,23.7769,43.4883,43.4883,97.1,IV,0.48,21.4,0,1.3432,1.2872,1.4551
Zone_C,2025-07-15 07:37:12.259652,9.9505,2368.0793,337.6657,0.0003,241.3944,552.0399,1304.2322,123.0,II,0.19,15.8,0,405.1988,388.3155,438.9654
Zone_C,2025-09-23 15:37:12.259652,4.5231,2450.5919,853.0607,0.0023,249.8055,625.9488,1378.2386,123.0,II,0.19,15.8,0,1023.6729,981.0198,1108.979
Zone_B,2025-08-21 17:37:12.259652,13.1088,2502.6142,619.0769,0.0104,255.1085,623.1213,1330.9861,97.1,IV,0.48,21.4,0,742.8923,711.9385,804.8
Zone_B,2025-06-23 06:37:12.259652,8.3995,2285.1032,182.1962,0.0,232.9361,555.475,1338.2473,97.1,IV,0.48,21.4,0,218.6354,209.5256,236.855
Zone_C,2025-08-21 09:37:12.259652,14.3608,2538.5121,608.0472,0.0055,258.7678,657.9876,1461.7814,123.0,II,0.19,15.8,0,729.6566,699.2543,790.4613
Zone_C,2025-08-09 15:37:12.259652,5.3048,2442.9466,520.7134,0.0002,249.0262,557.3772,1373.6221,123.0,II,0.19,15.8,0,624.8561,598.8204,676.9275
Zone_A,2025-04-16 05:37:12.259652,0.0,355.4761,6.928,0.005,36.2361,106.6591,235.6777,90.4,IV,0.49,25.0,0,8.3136,7.9672,9.0064
Zone_C,2025-06-29 11:37:12.259652,8.4204,2421.8496,222.1556,0.0015,246.8756,640.6403,1414.6653,123.0,II,0.19,15.8,0,266.5867,255.4789,288.8022
Zone_D,2025-05-27 19:37:12.259652,0.0,404.0229,58.235,0.0012,41.1848,88.0381,221.9388,158.4,II,0.22,18.0,0,69.882,66.9703,75.7055
Zone_B,2025-06-22 21:37:12.259652,4.0231,2246.7354,179.6362,0.0,229.025,545.4349,1324.8101,97.1,IV,0.48,21.4,0,215.5634,206.5816,233.527
Zone_B,2025-07-29 04:37:12.259652,9.889,2397.1463,445.4897,0.0173,244.3574,571.0945,1311.702,97.1,IV,0.48,21.4,0,534.5877,512.3132,579.1367
Zone_A,2025-09-19 00:37:12.259652,13.2852,2519.8198,813.2485,0.001,256.8624,646.0589,1416.5371,90.4,IV,0.49,25.0,0,975.8982,935.2357,1057.223
Zone_C,2025-09-10 18:37:12.259652,2.233,2447.1473,759.2692,0.0079,249.4544,623.3193,1356.5495,123.0,II,0.19,15.8,0,911.1231,873.1596,987.05
Zone_A,2025-09-26 09:37:12.259652,9.5946,2478.9292,868.8592,0.0017,252.6941,575.7642,1394.1857,90.4,IV,0.49,25.0,0,1042.631,999.1881,1129.5169
Zone_D,2025-08-22 13:37:12.259652,4.5169,2411.2915,624.2436,0.0027,245.7993,532.1777,1315.9196,158.4,II,0.22,18.0,0,749.0923,717.8801,811.5167
Zone_B,2025-06-05 11:37:12.259652,8.997,1247.784,75.0334,0.0002,127.1951,576.0795,935.2804,97.1,IV,0.48,21.4,0,90.0401,86.2884,97.5434
Zone_D,2025-04-08 17:37:12.259652,2.3842,196.1584,0.1453,0.0006,19.9958,16.7578,16.7578,158.4,II,0.22,18.0,0,0.1743,0.167,0.1888
Zone_D,2025-08-15 00:37:12.259652,12.6333,2482.0355,568.5847,0.0,253.0108,584.857,1369.5029,158.4,II,0.22,18.0,0,682.3017,653.8724,739.1601
Zone_D,2025-04-11 01:37:12.259652,0.0,247.9415,1.7586,0.0126,25.2744,92.9187,92.9187,158.4,II,0.22,18.0,0,2.1103,2.0224,2.2862
Zone_B,2025-09-29 04:37:12.259652,13.4495,2477.4414,908.6087,0.0011,252.5424,614.137,1324.5936,97.1,IV,0.48,21.4,0,1090.3304,1044.9,1181.1913
Zone_D,2025-07-27 10:37:12.259652,0.0,2393.3962,431.0379,0.0007,243.9751,524.5544,1338.0481,158.4,II,0.22,18.0,0,517.2455,495.6936,560.3493
Zone_C,2025-05-08 02:37:12.259652,1.2074,346.1029,29.8339,0.0001,35.2806,73.3353,195.3995,123.0,II,0.19,15.8,0,35.8006,34.309,38.784
Zone_B,2025-06-06 09:37:12.259652,13.3407,1425.5863,78.6844,0.0,145.3197,633.9678,1127.3107,97.1,IV,0.48,21.4,0,94.4213,90.4871,102.2897
Zone_C,2025-06-26 21:37:12.259652,13.6305,2314.4258,203.6673,0.0003,235.9252,590.3799,1310.6288,123.0,II,0.19,15.8,0,244.4007,234.2174,264.7674
Zone_B,2025-08-25 07:37:12.259652,9.6254,2555.6134,646.1114,0.0001,260.5111,645.1341,1443.6051,97.1,IV,0.48,21.4,0,775.3336,743.0281,839.9448
Zone_C,2025-05-24 10:37:12.259652,2.5249,409.341,49.6875,0.0029,41.7269,100.0884,228.8586,123.0,II,0.19,15.8,0,59.6249,57.1406,64.5937
Zone_A,2025-06-13 16:37:12.259652,16.701,2070.4624,114.9902,0.0091,211.0563,633.0254,1400.4692,90.4,IV,0.49,25.0,0,137.9883,132.2387,149.4873
Zone_B,2025-07-07 19:37:12.259652,6.3354,2499.9327,288.5763,0.0072,254.8351,605.7755,1420.2538,97.1,IV,0.48,21.4,0,346.2915,331.8627,375.1492
Zone_B,2025-08-17 11:37:12.259652,4.1179,2478.887,587.7008,0.0062,252.6898,541.3776,1416.8705,97.1,IV,0.48,21.4,0,705.241,675.856,764.0111
Zone_C,2025-09-01 14:37:12.259652,7.5453,2488.3522,692.2074,0.0158,253.6547,603.9151,1385.5045,123.0,II,0.19,15.8,0,830.6488,796.0385,899.8696
Zone_C,2025-06-13 01:37:12.259652,8.3663,2028.1376,111.648,0.0005,206.7419,586.2664,1381.5383,123.0,II,0.19,15.8,0,133.9776,128.3952,145.1424
Zone_B,2025-04-27 23:37:12.259652,3.1536,407.7669,20.1384,0.0032,41.5665,101.79,244.5386,97.1,IV,0.48,21.4,0,24.1661,23.1592,26.1799
Zone_C,2025-09-28 02:37:12.259652,14.4172,2445.4313,885.71,0.0034,249.2794,604.7463,1403.4446,123.0,II,0.19,15.8,0,1062.8521,1018.5665,1151.4231
Zone_D,2025-09-01 01:37:12.259652,6.6771,2289.3879,691.8705,0.0144,233.3729,531.4218,1230.7848,158.4,II,0.22,18.0,0,830.2446,795.6511,899.4317
Zone_D,2025-05-01 23:37:12.259652,4.912,469.6886,24.9409,0.0002,47.8786,131.5104,290.0551,158.4,II,0.22,18.0,0,29.9291,28.682,32.4231
Zone_A,2025-08-09 08:37:12.259652,16.7811,2350.0835,518.0868,0.0066,239.56,521.5737,1307.6325,90.4,IV,0.49,25.0,0,621.7042,595.7998,673.5129
Zone_A,2025-06-14 13:37:12.259652,2.9887,2101.4667,120.5038,0.0047,214.2168,669.1213,1418.239,90.4,IV,0.49,25.0,0,144.6046,138.5794,156.655
Zone_B,2025-04-26 08:37:12.259652,0.0,413.352,18.1175,0.0029,42.1358,106.0283,253.2968,97.1,IV,0.48,21.4,0,21.741,20.8351,23.5528
Zone_A,2025-08-04 08:37:12.259652,6.681,2439.0445,482.2616,0.0077,248.6284,610.0535,1332.8963,90.4,IV,0.49,25.0,0,578.7139,554.6009,626.9401
Zone_B,2025-05-13 08:37:12.259652,0.0,408.0473,39.1059,0.0011,41.595,104.7415,229.3413,97.1,IV,0.48,21.4,0,46.9271,44.9718,50.8376
Zone_A,2025-04-26 02:37:12.259652,2.6678,365.1438,17.8175,0.001,37.2216,83.852,207.7765,90.4,IV,0.49,25.0,0,21.381,20.4901,23.1628
Zone_C,2025-07-09 00:37:12.259652,10.2863,2430.492,292.152,0.006,247.7566,565.5192,1347.7116,123.0,II,0.19,15.8,0,350.5824,335.9748,379.7977
Zone_C,2025-04-30 04:37:12.259652,0.0,378.4482,20.8943,0.0066,38.5778,101.7454,211.9834,123.0,II,0.19,15.8,0,25.0731,24.0284,27.1625
Zone_D,2025-06-09 10:37:12.259652,9.7002,1734.7208,93.8801,0.0033,176.8319,583.0684,1391.0935,158.4,II,0.22,18.0,0,112.6561,107.9621,122.0441
Zone_C,2025-09-03 02:37:12.259652,18.7983,2446.3206,703.2716,0.0031,249.3701,551.1924,1381.0246,123.0,II,0.19,15.8,0,843.9259,808.7623,914.253
Zone_B,2025-05-24 05:37:12.259652,0.0,413.3141,53.1914,0.0097,42.1319,96.3464,218.9864,97.1,IV,0.48,21.4,0,63.8297,61.1701,69.1489
Zone_A,2025-06-07 15:37:12.259652,7.1588,1495.8052,82.8416,0.0241,152.4776,580.2775,1288.9083,90.4,IV,0.49,25.0,0,99.4099,95.2679,107.6941
Zone_D,2025-05-08 19:37:12.259652,0.122,428.1245,34.1556,0.0004,43.6416,99.6078,228.263,158.4,II,0.22,18.0,0,40.9867,39.279,44.4023
Zone_A,2025-04-26 23:37:12.259652,2.2207,369.186,18.8064,0.0006,37.6336,100.0571,216.1401,90.4,IV,0.49,25.0,0,22.5677,21.6274,24.4483
